,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,Ribas do Rio Pardo,100,BR,1573067246,32,-20.45,-53.76,96.04,5.59
104,Ormara,0,PK,1573067248,36,25.21,64.64,79.99,23.58
105,Umm Kaddadah,0,SD,1573067249,12,13.6,26.69,84.99,7.09
106,Vaini,100,IN,1573067250,97,15.34,74.49,68.5,2.46
107,Gimli,13,CA,1573067251,60,50.63,-96.99,19.99,8.01
108,Torbay,90,CA,1573067252,100,47.66,-52.73,48.99,24.16
109,Constitucion,75,MX,1573067253,49,23.99,-104.67,73.0,2.24
110,New Norfolk,75,AU,1573067254,70,-42.78,147.06,45.0,13.87
111,Tuktoyaktuk,90,CA,1573067256,85,69.44,-133.03,21.2,9.17
112,Tuatapere,100,NZ,1573067257,92,-46.13,167.69,52.0,1.12
113,Vila Franca do Campo,75,PT,1573067258,68,37.72,-25.43,64.4,8.05
114,Mocuba,48,MZ,1573067259,76,-16.84,36.99,74.35,5.12
115,Codrington,0,AU,1573067260,93,-28.95,153.24,51.01,5.82
116,Vestmannaeyjar,20,IS,1573067261,86,63.44,-20.27,37.4,18.34
117,Bethel,90,US,1573067262,91,60.79,-161.76,33.8,10.29
118,Ancud,90,CL,1573067264,95,-41.87,-73.83,53.6,6.93
119,Tazovskiy,83,RU,1573067265,95,67.47,78.7,3.99,5.73
120,Komsomolskiy,83,RU,1573067266,97,67.55,63.78,6.39,4.7
121,Harper,90,US,1573067267,88,30.3,-99.24,75.0,8.05
122,Kahului,40,US,1573067268,78,20.89,-156.47,78.8,12.75
123,Fort Nelson,40,CA,1573067269,84,58.81,-122.69,6.8,2.24
124,Alofi,8,NU,1573067271,100,-19.06,-169.92,69.8,5.82
125,Quebec,75,CA,1573067006,40,46.83,-71.24,37.99,12.75
126,Springfield,1,US,1573067207,27,42.1,-72.59,55.4,17.22
127,Kununurra,0,AU,1573067274,72,-15.77,128.74,68.0,8.66
128,Praia da Vitoria,40,PT,1573067201,72,38.73,-27.07,64.4,3.04
129,Laguna,40,BZ,1573067276,78,16.17,-88.94,82.4,6.93
130,Khatanga,0,RU,1573067278,81,71.98,102.47,-6.81,10.45
131,Chuy,0,UY,1573067279,51,-33.69,-53.46,70.2,5.59
132,Comodoro Rivadavia,40,AR,1573067280,21,-45.87,-67.48,69.8,28.86
133,Ixtapa,5,MX,1573067282,59,20.71,-105.21,89.6,1.72
134,East London,20,ZA,1573067055,82,-33.02,27.91,66.2,13.87
135,Waitara,96,NZ,1573067284,68,-39.0,174.24,64.99,3.0
136,Cherskiy,100,RU,1573067285,79,68.75,161.3,25.7,5.37
137,Palmer,75,AU,1573067286,71,-34.85,139.16,57.99,19.46
138,Kharan,0,PK,1573067287,20,28.58,65.42,59.23,19.66
139,Qaanaaq,0,GL,1573067289,58,77.48,-69.36,1.83,7.99
140,Plettenberg Bay,83,ZA,1573067290,73,-34.05,23.37,62.44,5.39
141,Mahibadhoo,99,MV,1573067291,76,3.78,72.97,82.45,9.48
142,Pryazha,100,RU,1573067292,79,61.69,33.62,26.6,4.47
143,Bowen,26,AU,1573067294,87,-20.01,148.25,64.0,2.24
144,Minab,0,IR,1573067295,43,27.15,57.07,73.4,9.37
145,Bathsheba,20,BB,1573067295,78,13.22,-59.52,82.4,21.92
146,Kondinskoye,96,RU,1573067297,93,59.65,67.41,39.85,16.71
147,Sterlibashevo,76,RU,1573067298,79,53.44,55.26,33.15,12.24
148,Ahipara,13,NZ,1573067299,100,-35.17,173.16,59.0,12.39
149,Mago,73,RU,1573067301,76,53.27,140.15,21.42,11.36
150,Flinders,40,AU,1573067302,20,-34.58,150.85,71.01,19.46
151,Coahuayana,18,MX,1573067303,59,18.62,-100.35,85.51,2.46
152,Raudeberg,75,NO,1573067304,51,61.99,5.14,39.2,8.05
153,Grand-Lahou,6,CI,1573067305,78,5.24,-5.0,82.26,9.57
154,Saint-Augustin,75,CA,1573067307,44,45.63,-73.98,41.0,12.75
155,Longyearbyen,20,NO,1573067308,71,78.22,15.63,8.6,3.36
156,Moindou,75,NC,1573067309,93,-21.69,165.68,59.0,1.12
157,Kalabo,58,ZM,1573067310,65,-15.0,22.67,73.53,5.57
158,Marsh Harbour,100,BS,1573067311,80,26.54,-77.06,79.5,13.89
159,Saint Anthony,1,US,1573067312,49,43.97,-111.68,50.0,4.7
160,Sorland,40,NO,1573067313,59,67.67,12.69,35.6,11.41
161,Takoradi,22,GH,1573067315,81,4.89,-1.75,81.36,8.9
162,Chute-aux-Outardes,75,CA,1573067316,51,49.12,-68.38,33.8,18.34
163,Thompson,90,CA,1573067273,77,55.74,-97.86,6.8,10.29
164,San Isidro,75,CR,1573067318,73,10.02,-84.06,73.4,17.22
165,Maningrida,18,AU,1573067319,77,-12.05,134.23,78.06,4.36
166,Huarmey,2,PE,1573067321,43,-10.07,-78.15,79.65,11.54
167,Cidreira,0,BR,1573067322,63,-30.17,-50.22,67.84,13.6
168,Aklavik,90,CA,1573067323,71,68.22,-135.01,14.0,5.82
169,Caravelas,0,BR,1573067324,56,-17.73,-39.27,86.95,15.7
170,Garbolovo,100,RU,1573067325,74,60.34,30.5,30.0,11.18
171,Pacific Grove,40,US,1573067326,76,36.62,-121.92,66.99,12.28
172,Maceio,16,BR,1573067075,65,-9.67,-35.74,82.4,16.11
173,Nichinan,0,JP,1573067329,76,31.65,131.31,50.0,5.01
174,Ust-Koksa,100,RU,1573067330,95,50.27,85.62,22.78,2.08
175,Saldanha,91,PT,1573067331,86,41.42,-6.55,48.69,7.54
176,Smolenskoye,0,RU,1573067332,83,52.31,85.08,31.12,4.38
177,Saint George,75,GR,1573067334,77,39.45,22.34,60.8,5.82
178,Sitka,16,US,1573067335,59,37.17,-99.65,59.0,5.99
179,Chicama,20,PE,1573067336,72,-7.84,-79.15,68.0,13.87
180,Padang,7,ID,1573067337,88,-0.92,100.36,65.46,2.64
181,Linxi,5,CN,1573067338,93,23.65,116.7,62.6,2.48
182,Waipawa,100,NZ,1573067340,90,-39.94,176.59,55.99,1.43
183,Camocim,0,BR,1573067341,36,-2.9,-40.84,95.74,12.75
184,Zyryanka,100,RU,1573067342,94,65.73,150.89,3.49,14.47
185,Sosnovo-Ozerskoye,100,RU,1573067343,70,52.53,111.54,16.9,10.4
186,Severo-Kurilsk,97,RU,1573067345,92,50.68,156.12,33.21,7.16
187,Isla Mujeres,75,MX,1573067346,70,21.23,-86.73,86.0,9.17
188,San Miguel,75,AR,1573067347,50,-34.54,-58.72,80.01,11.41
189,Kaeo,26,NZ,1573067348,95,-35.1,173.78,59.0,1.01
190,Biak,49,ID,1573067349,69,-0.91,122.88,81.9,11.83
191,Suntar,35,RU,1573067351,86,62.16,117.65,-0.35,6.76
192,Beaverlodge,40,CA,1573067352,91,55.21,-119.43,3.2,3.36
193,Volchanets,77,RU,1573067354,63,42.91,132.75,30.65,4.59
194,Yantzaza,75,EC,1573067355,42,-3.83,-78.76,82.4,6.93
195,Faanui,66,PF,1573067310,79,-16.48,-151.75,79.9,12.46
196,Balabac,100,PH,1573067358,75,7.99,117.06,80.71,20.15
197,Soyo,0,AO,1573067359,76,-6.13,12.37,79.72,9.42
198,French Harbor,75,HN,1573067360,78,16.35,-86.43,82.4,6.93
199,Rabak,39,SD,1573067361,23,13.18,32.74,95.58,3.96
200,Carnarvon,12,ZA,1573067363,23,-30.97,22.13,63.61,21.94
201,Avera,1,US,1573067364,49,33.19,-82.53,73.99,10.29
202,Samana,40,EC,1573067365,74,0.12,-76.97,84.2,3.36
203,Clarence Town,0,AU,1573067366,44,-32.59,151.78,70.0,1.99
204,Santa Ines,75,EC,1573067367,52,-0.82,-78.63,64.4,18.34
205,Ribeira Grande,75,PT,1573067369,63,38.52,-28.7,66.2,3.36
206,Kruisfontein,100,ZA,1573067370,75,-34.0,24.73,60.57,10.0
207,Belaya Gora,100,RU,1573067371,96,68.54,146.19,2.75,6.42
208,Tabuk,99,PH,1573067372,95,17.41,121.44,74.05,4.52
209,Leningradskiy,53,RU,1573067373,90,69.38,178.42,16.16,14.92
210,Batagay-Alyta,88,RU,1573067374,92,67.8,130.41,-12.23,4.25
211,Kondoa,74,TZ,1573067376,59,-4.91,35.78,70.84,10.63
212,Kavaratti,9,IN,1573067377,79,10.57,72.64,81.34,11.59
213,Manutuke,100,NZ,1573067378,60,-38.68,177.91,68.0,5.01
214,Rodrigues Alves,75,BR,1573067379,78,-7.74,-72.65,80.6,16.11
215,Fuzhou,20,CN,1573067380,72,26.08,119.3,66.2,4.47
216,Grodig,75,AT,1573067382,93,47.73,13.03,45.0,5.82
217,Pangody,84,RU,1573067383,94,65.85,74.49,6.06,7.74
218,Havelock,20,US,1573067384,63,34.88,-76.9,68.0,13.87
219,Ortakoy,0,TR,1573067385,62,38.74,34.04,51.8,2.62
220,Tasiilaq,40,GL,1573067386,58,65.61,-37.64,28.4,11.41
221,Arlit,0,NE,1573067387,10,18.74,7.39,91.53,7.67
222,Parnamirim,40,BR,1573067388,62,-5.92,-35.27,84.2,21.92
223,Melfi,90,IT,1573067390,93,41.0,15.66,57.2,10.29
224,Zhigansk,44,RU,1573067391,97,66.77,123.37,-18.93,3.44
225,Jumla,33,NP,1573067392,61,29.28,82.18,38.55,4.12
226,Rawson,100,AR,1573067393,45,-43.3,-65.11,62.28,23.17
227,Aswan,2,EG,1573067394,19,24.09,32.9,80.6,8.05
228,Lima,75,PE,1573067292,72,-12.06,-77.04,68.0,8.05
229,Vostok,49,RU,1573067396,81,46.45,135.83,9.43,5.32
230,Maniitsoq,99,GL,1573067398,75,65.42,-52.9,29.46,10.42
231,Port Lincoln,97,AU,1573067399,69,-34.72,135.86,55.83,15.17
232,Araouane,6,ML,1573067400,16,18.9,-3.53,85.33,7.05
233,Dongli,0,CN,1573067401,68,24.18,117.61,66.2,4.47
234,Nikki,0,BJ,1573067402,38,9.94,3.21,82.99,3.11
235,Matara,92,BI,1573067403,88,-3.48,29.48,60.75,3.67
236,Zeya,85,RU,1573067405,83,53.74,127.27,3.54,9.13
237,Mahebourg,40,MU,1573067406,88,-20.41,57.7,75.2,6.93
238,Nanortalik,0,GL,1573067407,76,60.14,-45.24,33.82,9.13
239,Evensk,100,RU,1573067408,87,61.92,159.24,28.85,37.11
240,Progreso,75,UY,1573067409,47,-34.68,-56.22,79.0,13.87
241,Ucluelet,75,CA,1573067213,87,48.94,-125.55,48.99,2.24
242,Sao Joao da Barra,75,BR,1573067412,62,-21.64,-41.05,84.2,20.8
243,Touros,75,BR,1573067413,62,-5.2,-35.46,84.2,17.22
244,Puerto Escondido,5,MX,1573067414,74,15.86,-97.07,84.2,6.93
245,Vostochnyy,90,RU,1573067415,100,55.82,37.87,50.0,4.47
246,Ambilobe,70,MG,1573067416,62,-13.19,49.05,80.69,14.47
247,Fairbanks,90,US,1573067418,100,64.84,-147.72,25.0,1.88
248,Isangel,75,VU,1573067419,94,-19.55,169.27,73.4,1.36
249,Esperance,90,AU,1573067420,81,-33.86,121.89,53.6,9.17
250,Wajid,39,SO,1573067421,74,3.81,43.25,77.94,6.15
251,Nome,1,US,1573067422,47,30.04,-94.42,80.01,6.93
252,Ulagan,80,RU,1573067423,91,50.63,87.96,23.2,0.47
253,Coihaique,75,CL,1573067356,46,-45.58,-72.07,55.4,16.11
254,Lucapa,100,AO,1573067426,87,-8.42,20.74,70.25,1.48
255,Filadelfia,100,PY,1573067427,41,-22.35,-60.04,93.61,5.84
256,Jatai,33,IN,1573067428,28,28.97,76.18,76.35,5.61
257,Mount Isa,64,AU,1573067430,12,-20.73,139.49,68.0,11.48
258,Trairi,14,BR,1573067431,36,-3.28,-39.27,92.7,10.71
259,Nador,0,MA,1573067432,63,35.17,-2.93,64.4,9.17
260,Port-Gentil,75,GA,1573067433,83,-0.72,8.78,82.4,11.41
261,Alekseyevka,75,RU,1573067435,87,53.25,50.49,46.4,24.61
262,Sucua,75,EC,1573067436,73,-2.46,-78.17,77.0,5.82
263,Broken Hill,0,AU,1573067438,58,-31.97,141.45,55.4,17.22
264,Rognan,72,NO,1573067329,68,67.1,15.4,26.6,14.99
265,Shalya,96,RU,1573067440,93,57.25,58.73,40.01,13.15
266,Chernyshevskiy,100,RU,1573067442,95,63.01,112.47,1.2,8.1
267,Margate,75,AU,1573067345,70,-43.03,147.26,45.0,13.87
268,Bandarbeyla,23,SO,1573067444,77,9.49,50.81,80.67,8.23
269,Nevelsk,40,RU,1573067446,64,46.67,141.86,33.8,11.18
270,Marsabit,12,KE,1573067447,48,2.34,37.99,82.2,20.18
271,Grand Gaube,40,MU,1573067448,88,-20.01,57.66,75.2,6.93
272,Ust-Ishim,100,RU,1573067449,95,57.69,71.17,36.84,10.22
273,Aksarka,98,RU,1573067432,83,66.56,67.8,8.11,0.76
274,Tilichiki,100,RU,1573067452,84,60.47,166.1,33.76,27.89
275,Yulara,0,AU,1573067280,22,-25.24,130.99,64.4,5.82
276,Constantine,75,DZ,1573067454,81,36.36,6.61,50.0,17.22
277,Manokwari,100,ID,1573067455,77,-0.87,134.08,73.94,4.27
278,Camacha,40,PT,1573067337,72,33.08,-16.33,66.2,16.11
279,Pedasi,34,PA,1573067457,72,7.53,-80.03,82.53,4.65
280,Mogadishu,62,SO,1573067180,77,2.04,45.34,81.07,9.95
281,Naze,75,NG,1573067460,88,5.43,7.07,78.8,3.36
282,Oriximina,36,BR,1573067461,38,-1.77,-55.87,97.57,5.1
283,Mubende,21,UG,1573067465,90,0.56,31.4,63.64,0.74
284,Changying,1,CN,1573067466,71,52.87,123.32,1.56,12.06
285,Benguela,40,AO,1573067468,78,-12.58,13.4,80.6,9.17
286,Amapa,40,HN,1573067469,62,15.09,-87.97,86.0,9.17
287,Changzhou,98,CN,1573067470,80,31.81,119.97,63.0,5.97
288,Snezhnogorsk,75,RU,1573067471,92,69.19,33.23,17.6,2.24
289,Concordia,75,AR,1573067466,44,-31.4,-58.02,79.0,11.41
290,Shingu,0,JP,1573067475,60,33.72,135.99,60.55,5.17
291,Martinopolis,75,BR,1573067476,40,-22.15,-51.17,89.6,9.17
292,Nhulunbuy,0,AU,1573067478,88,-12.18,136.78,78.8,4.7
293,Marsa Matruh,0,EG,1573067479,77,31.35,27.25,69.8,9.98
294,Show Low,75,US,1573067481,76,34.25,-110.03,60.01,13.94
295,Mashhad,0,IR,1573067482,52,36.3,59.61,41.0,4.7
296,Roald,95,NO,1573067484,69,62.58,6.12,33.8,12.75
297,Kiruna,97,SE,1573067485,85,67.86,20.23,15.8,2.24
298,Xushan,20,CN,1573067487,87,30.18,121.25,68.0,2.24
299,Dondo,20,MZ,1573067465,74,-19.62,34.74,78.8,12.75
300,Anadyr,56,RU,1573067490,92,64.73,177.51,17.6,5.37
301,Taltal,0,CL,1573067491,61,-25.41,-70.49,63.0,7.83
302,Saskylakh,0,RU,1573067428,97,71.97,114.09,-17.49,7.27
303,Maryville,1,US,1573067494,42,35.76,-83.97,70.0,4.38
304,Tura,85,RU,1573067496,100,64.27,100.22,-9.23,1.77
305,Pimentel,51,BR,1573067497,44,-3.7,-45.5,93.38,5.3
306,Jalu,0,LY,1573067499,27,29.03,21.55,77.45,10.49
307,Yerbogachen,100,RU,1573067500,96,61.28,108.01,14.68,3.98
308,Namibe,2,AO,1573067502,76,-15.19,12.15,73.44,3.27
309,Numan,1,NG,1573067503,33,9.46,12.04,85.78,3.27
310,Sulangan,99,PH,1573067504,74,11.14,123.72,81.37,6.04
311,Alihe,0,CN,1573067506,50,50.57,123.73,7.57,11.5
312,Abu Samrah,0,SY,1573067507,48,35.3,37.18,67.87,7.02
313,Yaan,66,NG,1573067508,60,7.38,8.57,83.03,1.5
314,Dingle,98,PH,1573067510,91,11.0,122.67,74.34,7.11
315,Gamba,0,CN,1573067511,64,28.28,88.52,27.63,2.8
316,Lorengau,100,PG,1573067277,74,-2.02,147.27,82.42,13.42
317,Baykit,86,RU,1573067514,95,61.68,96.39,11.32,3.22
318,Alcudia,0,ES,1573067515,71,39.85,3.12,60.8,2.24
319,Northam,91,AU,1573067516,52,-31.65,116.67,64.4,6.93
320,Bolivar,90,US,1573067518,93,37.61,-93.41,53.01,9.17
321,Karaton,20,ID,1573067519,78,-6.34,106.1,77.0,10.29
322,Nyuksenitsa,98,RU,1573067521,92,60.41,44.24,16.61,4.41
323,San Policarpo,33,PH,1573067522,85,12.18,125.51,78.1,5.53
324,Hasaki,20,JP,1573067523,93,35.73,140.83,50.0,3.36
325,Callaway,40,US,1573067525,53,46.98,-95.91,26.6,18.34
326,Noyabrsk,100,RU,1573067526,96,63.2,75.45,22.23,9.75
327,Nerchinskiy Zavod,28,RU,1573067527,56,51.31,119.61,6.13,2.04
328,San Andres,40,PH,1573067529,84,13.32,122.68,79.07,12.53
329,Segou,87,SN,1573067530,56,12.41,-12.29,93.2,4.7
330,Dongkan,96,CN,1573067532,77,34.0,119.83,54.61,2.01
331,Soe,100,EE,1573067533,93,57.91,26.05,32.0,10.29
332,Auki,17,NG,1573067340,23,12.18,6.51,83.3,4.83
333,Svetlogorsk,75,RU,1573067536,55,53.14,59.15,35.6,26.84
334,Qinzhou,2,CN,1573067537,62,21.96,108.62,66.92,3.74
335,Cotacachi,40,EC,1573067538,38,0.3,-78.27,75.2,5.82
336,Viransehir,0,TR,1573067540,40,37.24,39.76,64.62,5.46
337,Poum,75,MK,1573067541,63,41.28,20.71,62.6,18.34
338,Metlaltoyuca,75,MX,1573067542,74,20.74,-97.85,82.4,11.41
339,Aksha,72,RU,1573067543,67,50.28,113.29,15.96,3.96
340,Genhe,0,CN,1573067544,81,50.78,121.52,2.01,5.37
341,Binga,57,ZW,1573067546,43,-17.62,27.34,84.47,4.97
342,Port-Cartier,75,CA,1573067547,59,50.03,-66.88,37.4,23.04
343,Richards Bay,49,ZA,1573067548,69,-28.77,32.06,79.41,20.65
344,Narsaq,5,GL,1573067549,58,60.91,-46.05,30.2,4.7
345,Cockburn Town,75,TC,1573067428,70,21.46,-71.14,84.2,13.87
346,Taoudenni,0,ML,1573067551,21,22.68,-3.98,83.71,11.9
347,Mabaruma,70,GY,1573067553,84,8.2,-59.78,83.43,2.21
348,Asha,100,RU,1573067554,85,54.99,57.29,34.23,13.56
349,Dongsheng,100,CN,1573067555,59,29.72,112.52,62.06,5.79
350,Port Macquarie,40,AU,1573067556,93,-31.43,152.91,51.01,4.7
351,Marawi,88,PH,1573067557,87,8.0,124.29,75.99,5.01
352,Hofn,90,IS,1573067558,86,64.25,-15.21,28.4,4.7
353,Nemuro,0,JP,1573067560,60,43.32,145.57,43.03,20.11
354,Novo Aripuana,97,BR,1573067561,38,-5.12,-60.38,96.93,3.22
355,Paragould,40,US,1573067562,76,36.06,-90.5,57.2,6.76
356,Pionerskiy,100,RU,1573067563,98,61.2,62.86,37.44,6.62
357,Shellbrook,75,CA,1573067564,66,53.22,-106.39,15.8,10.29
358,Saint-Pierre,90,FR,1573067566,100,48.95,4.24,48.99,8.05
359,Sobolevo,100,RU,1573067567,96,54.43,31.9,46.78,8.97
360,Norman Wells,75,CA,1573067568,92,65.28,-126.83,5.0,9.17
361,Yantai,51,CN,1573067569,59,37.53,121.39,59.0,1.01
362,Zaranj,0,AF,1573067570,14,30.95,61.86,57.2,20.8
363,Verkhnyaya Toyma,57,RU,1573067572,95,62.24,45.0,16.43,4.21
364,Santa Cruz de la Palma,20,ES,1573067573,60,28.68,-17.76,69.8,19.46
365,Kandrian,100,PG,1573067574,92,-6.21,149.55,70.74,2.62
366,Batemans Bay,0,AU,1573067296,60,-35.71,150.18,64.99,1.99
367,Waggaman,1,US,1573067577,69,29.92,-90.21,78.8,4.7
368,Ust-Nera,99,RU,1573067578,95,64.57,143.24,-1.14,8.41
369,Salalah,6,OM,1573067307,78,17.01,54.1,82.4,0.81
370,Lavumisa,48,ZA,1573067580,51,-27.31,31.88,84.2,4.7
371,Vanimo,100,PG,1573067314,79,-2.67,141.3,81.32,6.62
372,Coquimbo,0,CL,1573067583,67,-29.95,-71.34,62.6,12.75
373,Qasigiannguit,75,GL,1573067584,68,68.82,-51.19,30.2,14.99
